 [DEBUG] 2019-08-15 20:07:23,724 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\jinja2\exceptions.py first seen with mtime 1562207298.60395
 [DEBUG] 2019-08-15 20:07:23,725 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\chardet\compat.py first seen with mtime 1557894527.046356
 [DEBUG] 2019-08-15 20:07:23,725 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\numpy\polynomial\chebyshev.py first seen with mtime 1564402748.2914045
 [DEBUG] 2019-08-15 20:07:23,725 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\numpy\core\_asarray.py first seen with mtime 1564402744.385515
 [DEBUG] 2019-08-15 20:07:23,725 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\tablib\formats\_dbf.py first seen with mtime 1557906666.4830947
 [DEBUG] 2019-08-15 20:07:23,725 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\git\PycharmProjects\bc_qa_bvt\bc_qa_bvt\apps\utils\exception\my_exception.py first seen with mtime 1565870662.7698178
 [DEBUG] 2019-08-15 20:07:23,725 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\aiohttp\_websocket.cp36-win_amd64.pyd first seen with mtime 1564027686.65424
 [DEBUG] 2019-08-15 20:07:23,726 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\asyncio\transports.py first seen with mtime 1497700638.0
 [DEBUG] 2019-08-15 20:07:23,726 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\DLLs\_ctypes.pyd first seen with mtime 1507025560.0
 [DEBUG] 2019-08-15 20:07:23,726 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\attr\__init__.py first seen with mtime 1557895787.322412
 [DEBUG] 2019-08-15 20:07:23,726 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\openpyxl\chart\updown_bars.py first seen with mtime 1542819628.0
 [DEBUG] 2019-08-15 20:07:23,726 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\urllib3\util\__init__.py first seen with mtime 1562207806.4207213
 [DEBUG] 2019-08-15 20:07:23,727 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1557894919.5725727
 [DEBUG] 2019-08-15 20:07:23,727 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\utils\html.py first seen with mtime 1557894919.607478
 [DEBUG] 2019-08-15 20:07:23,727 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\git\PycharmProjects\bc_qa_bvt\bc_qa_bvt\exta_apps\xadmin\plugins\layout.py first seen with mtime 1565870663.3333132
 [DEBUG] 2019-08-15 20:07:23,727 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\openpyxl\worksheet\worksheet.py first seen with mtime 1542819629.0
 [DEBUG] 2019-08-15 20:07:23,727 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\DLLs\_multiprocessing.pyd first seen with mtime 1507025566.0
 [DEBUG] 2019-08-15 20:07:23,728 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\abc.py first seen with mtime 1497700638.0
